5396;232;8.83;28.361
1174;220;17.98;21.710
4392;37;46.89;41.374
2916;69;83.09;15.776
3631;178;90.38;34.109
7395;86;102.92;10.903
1567;249;80.90;6.885
6791;142;29.89;7.298
1778;39;61.87;19.641
7828;173;72.08;39.536
5640;132;111.74;31.081
1654;157;108.33;49.787
9683;170;100.21;16.735
7471;68;58.32;1.187
5276;170;10.86;31.327
5244;145;5.02;14.413
7737;113;96.45;29.257
7094;194;58.14;44.598
6020;69;60.85;33.930
4961;229;17.45;47.302
8135;75;21.52;44.851
5024;24;104.30;19.767
3699;241;84.26;15.833
6744;190;33.97;11.726
5717;156;59.11;16.448
7327;52;11.99;49.591
5331;71;5.12;35.998
6579;212;94.81;8.993
5421;244;26.63;22.125
3525;63;71.82;6.065
3446;127;5.62;19.829
7917;151;8.06;23.439
8015;123;27.01;40.782
6724;84;20.27;25.308
6588;138;56.63;50.200
7728;72;27.14;17.255
2356;159;48.74;15.381
8265;53;100.22;37.404
2677;52;57.93;3.998
9804;139;36.20;13.411
1838;69;70.74;39.289
7481;16;45.10;4.442
5871;150;30.41;9.757
1320;172;66.49;37.794
7443;185;69.53;3.201
5492;165;43.86;7.037
8179;26;116.59;31.525
2192;202;111.76;6.137
3118;49;65.37;20.409
6385;136;70.42;0.540
4904;71;25.85;10.537
4452;200;66.85;42.292
7722;134;11.78;1.871
6129;99;62.47;19.439
3953;89;78.19;6.365
7154;110;88.97;38.143
4635;194;99.16;30.454
5099;128;9.63;35.242
3395;149;64.93;18.766
1596;124;114.73;31.466
6611;151;52.71;16.653
2667;66;68.22;2.964
6166;59;21.99;12.886
2768;87;107.77;46.212
3902;167;95.43;36.467
3850;125;111.95;34.120
2071;45;73.67;34.137
4664;89;32.14;7.350
6440;83;53.53;47.050
3450;63;73.05;41.961
8981;104;33.68;18.567
5435;154;64.69;2.423
8145;208;75.39;43.919
5449;90;29.61;27.734
8262;100;92.57;13.251
2637;188;26.14;43.576
8605;106;97.42;47.157
5184;68;83.65;5.924
7889;172;108.54;38.222
1120;74;90.28;50.631
4498;208;73.30;9.346
9021;169;119.60;13.413
5373;95;54.30;46.323
3782;37;90.79;25.946
2749;83;30.38;40.435
7667;187;54.75;9.683
9396;48;26.33;33.698
8042;131;88.73;5.186
8078;194;35.08;0.234
9983;140;13.63;34.723
